cleaned_text,label,emotion
اسطوره الاوليمبياد فيلبس كسب الميداليه رقم بس المره دي فضه كده عنده دهب و فضه و برونز يلا ريو,0,joy
بفضل قاعده اتفرج ع الاوليمبياد واتحسر علي حياتي واحس اني مليش لازمه ف العالم,2,sad
اعترافه وتعبيره بالحب حين قال صلي الله عليه وسلم عن خديجه اني قد رزقت حبها واشارته ان رزق موقف من حياه الن,1,love
ال ماشيه بضهرها و حطت عليا,2,sad
وكيف لي ان اخبرك عن تضاعف دقات قلبي عند سماع صوتك,1,love
في ف كتاب كده كانو مشبهين الروتين ب الانسان اللي بيدخل النار كل يوم ويطلع منها يغير جلده ويدخل تاني دايما بقي متخيلين احنا بؤساء اد ايه,2,sad
طلعت اعرف امتنان من اكثر من سنه,0,joy
اذا ضحكت اضاء بذاك قلبي وعيناها وعينا من راها ومجهول اذا شربت اتروي ام الاكواب من يروي صداها القريض,1,love
هي البدر حسنا والنساء كواكب و شتان ما بين الكواكب والبدر مجنون ليلي شعر فصيح غزل شعر غزل ابيات,1,love
الناس اللي بتلعب باسم مصر في الاوليمبياد عانوا كتير مفيش اي اهتمام من البلد كله بمجهوداتهم متعاطف معاهم علشانهم مش علشان البلد,2,sad
شعور الفرحه اللي م بعدها فرحه لما تشوفي صديقه قلبك عروسحبيبه قلبي الله يتمم لها علي خير,0,joy
كنت بهرب من الدنيا و اجيلك بس دلوقتي الوجع منك اهرب لميـن,2,sad
خذاك الموت ليت الموت لو ليله بعد خلاك ياربي بس ابي ليله معاه اودعه فيها جرح بوح غياب,2,sad
لكل فاتنه تبحث عن التميز مع البخورالملكي,0,joy
الله يرحمو مات زويل وبقي عويل الله ينور علي هذه الامه العريه الغارقه في الجهل والحرب,2,sad
الاشتياق ان اتحدث مع رسائلكـ في غيابكـ,1,love
فان كانت الاجسام منا تباعدت فان المدي بين القلوب قريب جماليات القريض نمير البيان,1,love
اللهم نوم طويل ونفسيه حلوه وراس مايصدع,0,joy
اللاعب اسلام الشهابي الذي خسر من لاعب يهودي في الاوليمبياد اسرع خساره في التاريخ دقيقتين و ثانيه بنتيجه يا ليتك انسحبت,2,sad
يوما علي حصار منبج السوريه مئات الضحايا والمفقودين تتدهور الاوضاع الانسانيه لاهالي مدينه منبج السوريه,2,sad
فقط في الحب تسيطر العاطفه علي جميع القرارات,1,love
فــــــراق السـلام علي قبـورهم اولـئك الذين سدلوا ستـار الحيـاه وتركونـا في صدمـه المشهـد,2,sad
صباح الخيرات,0,joy
وما الحب الا مساحه جميله من الرحمه والموده والقدره علي الغفران والتسامح,1,love
كفايا خروج من الاوليمبياد يا جدعان جسمنا باظ,2,sad
حاضر هنهري اسبوع في علم السعوديه اللي اترفع في بعثه الاوليمبياد المصريه وننسي ونسكت وميحصلش حاجه ولا نتقدم خطوه واحده حاضر,2,sad
صباح الجمال رضوي,0,joy
الاستاذ جميل جمال ملوس مسال تخاريف محمد صبحي,0,joy
هو تلك العاطفه الساميه التي تجعلنا نتزوج وننجب الاطفال وننشئ الاسره وفي ليالي الشتاء البارده نجتمع حول المدفاه محمد عفيفي,1,love
عمر ما حد هيحسوا غير اللي داقوا و مر بيه,2,sad
اساس استمرار الحرب جهوي مناطقي اطماع مصراته وطرابلس في السلطه والمال ومقدرات برقه في اقتصادها وضرب سلالتها قناه الحدث جمعه انقاذ بنغازي,2,sad
وهذا الحب اغرقني اشتياقا فمن في حب مكه قد يلام صدفه رائعه والتقاطه جميله للمصور احمد حاضر,1,love
حسام البدري احسن واحد يتفلسف ويضيع تعب الفريق كله ولا نسيته لما هزقتوه وطردتوه ولا نسيته تصفيات الاوليمبياد زملكاوي,2,sad
مشكور وضاح عالموقع المؤثر الله يكثر من امثالك,1,love
مشكله لاعيبه مصر في الاوليمبياد مش انهم بيادو وحش المشكله انهم مبيعرفوش يفوزو ودي حاجه زفت لانهم مش واقعين خالص ولا فوق خالص حاجه مسخ كده,2,sad
الحب يستاذن المراه في ان يدخل قلبها اما الرجل فانه يقتحم قلبه دون استئذان جورج برناردشو,1,love
اشد من الموت ما يتمني الموت عنده فلا ياتي عذاب الله مجرم القاضيه العذاب مالك جهنم,2,sad
اين انت سؤال يراودني كلما طفح حنيني بك وغمرني شوقي اليك لاكتبك حكايه حب علي قيد الانتظار اتلوفيها ايات الفقد والنسيان,1,love
لنا دشتي لمه حق امام سلطان جائر,2,sad
اشتهي ان ترجع بي سنين لاجلس علي ارجوح ولا افهم م يدور حولي,2,sad
في ناس بتكون عم تضحك قدامكعيونن عم تلمع فجاه بتصير تتغير ملامحن شوي شوي من ضحكه لزعلو عيونن بتصير شارده بتنطفي اللمعهبترجعلن غصه,2,sad
هيا مصر مش ناويه تفوز في اي لعبه في الاوليمبياد كله خساره خساره مافيش فوز,2,sad
الحب حرفين تشمل كل علم الكلام والصمت فيه اجمل التعبير عن سيرته عنايد الحرف,1,love
انشغال هبه مجدي بالاعمال الفنيه مما يمنعها من قضاء شهر العسل,1,love
لا تجعلوا اقصي امانيكم او تطمحوا له بلا امانفالحب بلا امان كالطفل الحرام يلقي علي قارعه الطريق لامستقبل له ولا هويه,1,love
ايهاب عبد الرحمن بره الاوليمبياد عشان في شك انه اخد منشطات حماده رفع علم دوله تانيه بكل وضوح ولسه موجود لا وكمان بجح,2,sad
فاذا وقفت امام حسنك صامتا فالصمت في حرم الجمال جمال كلماتنا في تقتل حبنا ان الحروف تموت حين تقال,1,love
احلي حاجه في الاوليمبياد البنت اللي راكبه العجله قبل اي دخول لاي بعثه,0,joy
قال لها اغمضي عينيك حبيبتي ثم سالها ماذا ترين فقالت لااري سوي ظلمه فقال هذه حياتي من دونك هكذا هو,1,love
يسعد صباحكم,0,joy
ليس كلمات عشق وغزل فقط بل هو العنايه والاهتمام بمن تحب والبقاء معه طول العمر دون ان تتغير مشاعرك تجاهه صداقه,1,love
ظلمتني كثير فكان من المنصف ان اظلمك بفراقي كان علي ان اهجرك لتدرك قيمتي في حياتك,2,sad
الخليج بنت المصانع الحربيه واستعدت لمواجهه غطرسه الغرب وامريكا واسرائيل وليس بالضروره ان تقوم بحرب لاثبات قوتها,0,joy
انا اسفه دوست علي رجلك لا عادي ولايهمك انا اعرف وحده داست علي قلبي ومتاسفتش,2,sad
وطول ما النحس قاعد علي الكرسي ما نترجي منه خير نسال الله ان يزيل الغمه عن مصر و اهلها,2,sad
لو كانت الحياه ملكي لامرتها ان تبقيك قربي ولو كان القدر بيدي لجعلت قدرك قدري ولكن الحمد لمن جعل بيدي كي ابقيك حبي الابدي,1,love
يا تري كيف حال اهالي راس غارب بعد السيول وتعويم الجنيه وزياده اسعار البنزين والسولار والبوتاجاز وجع,2,sad
المفروض ما نتابعش الاوليمبياد عشان دي جايه معانا بالعكس خالص بوم,2,sad
مهما كنت مجتهدا بنسيان الماضي صدفه واحده قد تعيدك للوراء سنين,2,sad
هم هههههههههههههههههه,0,joy
علي ذكر الاوليمبياد النهارده كان من اسوا الماتشات للي شوفتها لمنتخب مصر في اليد من اول ما تابعته في,2,sad
الذي يحبك حقا هوالذي يري فوضاك التي تعيشهاومزاجك المتقلبوصعوبه التعامل معك احياناوهومع كل هذايريدك ان تبقي في حياته في الله اصدق,1,love
يعني النوم هو الحل بردو بس كده هسقط,2,sad
في الحب لا ننسي الا انفسنا الانثي,1,love
بعض الاوجاع لا ترممها ابتسامه عابره,2,sad
المعني الحقيقي لكلمه الكريسماس,0,joy
افراح و سرور يوم ميلاده اعياد و زهور يوم ميلاده مولد السلطان رضا جان,1,love
يخربيت جمال ابوكم,0,joy
هو الشوق لشخص عندما تبتعد عنهلكن بنفس الوقت تشعر بالدفء لانه قريب في قلبكككك,1,love
سيدي المحترم محمد بن راشد ال مكتوم تحيه طيبه وبعد كان عندي فكره كنت حابب اسوقها لدوله الامارات اتمني التواصل تحياتي لفخامتكم,1,love
كل سنه وانت طيب طيب نؤجل التهنئه ليوم ابريل يوم مولدي ينفع,0,joy
اصبح العراق بين فكي كماشه شله مجرمين داعش من صوب و الحشد الشعبي من صوب ولا عزاء للضحايا,2,sad
رايت الهلال ووجه الحبيب قهوه السابعه كوب لشخصين عناقيد حرف نمير البيان حكايا مسك نخبه النون شواهق نجد ذكريات جميل,1,love
اخيرا ده انا قربت انسي اننا دخلنا الاوليمبياد اساسا,0,joy
انت ختام الشعور في صدري ما عاد فيني قوه لـ حب غيرك رتويت رومنسي بوح خواطر يبتي جميل رائع غزل شوق ذوق,1,love
اسمها ابتهاج وكلينتون عبرت عن سعادتهابمشاركه اول امريكيه محجبه في الاوليمبيادانتخابات وكده,0,joy
كنت بائس من حياتي وحزين الساعه لكن دلوقتي متفال ومبسوط فشخ سبحان مغير احوال,0,joy
الفطور جاهز حبيبي,0,joy
يا بخت الناس اللي بتشوف الناس اللي احنا بنشوفها اه والله بجد,0,joy
اكتفيت ب وحدتك ومزيكتك والاوضه الضلمه والسكوت والامبالاه عايش هربان بنص ميت,2,sad
وحيد في نص الطريق باين علي وجهي الضيق يلحقني بضيق واضيع بين العاارفين مالي قريب ولا صديق انا حبيب الغاايبين,2,sad
وجدتك انت ليجبر الله بك كل كسر مر بي مشاعر بوح قبل ان تنام,1,love
ليست كل القلوب التي ترحل ناكره ل الحب فبعض القلوب ترحل لـ انهاتحب,1,love
عارفين احنا ليه جيل مكتئب عشان عرفنا كل حاجه ع حقيقتها بدري,2,sad
حكايه جميله تحتوي علي الكثير من الخيال الذي نسج بين قلبين,1,love
وياخذني الحنين اليه عبثا احاول فتنهمر دموعي اااه من هذا بقلبي يتذكرهم وهم في طور النسيان,2,sad
عن فرحتي اللي متتوصفش ياناس يارب احمدك يارب مبروووك لشاهين وتحيا مصر باولادها,0,joy
الموت ليس ب فناء الجسد وانماااا ب ضياع الروح التي تسكن القلب فعندما تترك الروح مسكنها بحثا عن من تحب ينهار الجسد ويموت,2,sad
ليتنا ماعرفنا بعض ولا عشقنا ليتني غضيت البصر ولا شفتك ليت العمر وقف يالغلا ولا تصادقنا ليت مابه حب بهالدنيا وماحبيتك,2,sad
خساره تنصدم في ناس فرشت الدرب لخطاهم وهم بارخص تراب الارض يبيعوني ويبيعونك,2,sad
عن انساانه دخلت قلبي وحبيتهاااا من غير مكلمهااا في حد ذاااته,1,love
الاوليمبياد ديه جميله فشخ ياخوانا انا بفرح للي بيكسبوا والنعمه كاني جمهورهم احسن حدث رياضي الواحد يشوفه فعلا,0,joy
صبااحي يقتضي وجود ي اشعر بروعته صبااحي انت صباح شوق,1,love
كل عائق في وجه الحب هو مؤقت الحب لا تهزمه العوائق لان سموه يعلو فوق قانون البشر,1,love
لم يتغير شي ابدا مازلت انظر الي عينيك ب,1,love
الاغنيه دي انا حبتها واول مره اسمعها كانت من يوسف رنا سماحه مع عمرو الليثي,0,joy
ايه النكد دا رايحه الامتحان و وحده مشغله مصطفي كامل بصوت عالي اوي انا ناقصه,2,sad
كـنت نفسـك تبـني دنـيااا طعـم تااني و حـاجه تـانيه,2,sad
الاسبوع هادا كل ما افكر كيف بدو يمرق برج راسي انو احاول انسي وبرجع بفكر مش هييييك,2,sad
انا فضولي فشخ,0,joy
والخدمات في عمان لا ترقي بالمبلغ المدفوع والعروض هزيله,2,sad
اشكرك استاذ حمد علي دماثه اخلاقك وسعه صدرك واتمني للجميع التوفيق,1,love
اشرق وكان الكون كله لك صباح السعاده متطوعينا متطوعو الاردن تطوع سعاده عطاء اطفال متطوعو الاردن,1,love
احبني و احب ان اعلمكم ما انا مؤمنه به ضحي دوره شريك الحياه زواج,1,love
ساره سمير فخر مصر في الاوليمبياد تسلمي,0,joy
تبتسم فيفوح عطر قلبك ويضحك الياسمين لظلك تنتشي الروح لذكرك قروب خالد للرتويت قروب شعله الامل,1,love
الحب ريشه تملك القدره المتناهيه لرسم الجمال اللامتناهي علي اولئك الذين نحبهم,1,love
هل كتفك شاغرا الليله لراسي المثقل بالفراغ سؤال برودكاست برسونال,1,love
بس تكتشفو انو حلب محاصره رح نضحك عليكم للصبح,0,joy
ايوا بقا,0,joy
احتفال الاوليمبياد,0,joy
الحب وسيله و الزواج غايه فمن لم يكمل الحب بالزواج بسبب فراق ساذج فهو لم يحب ابدا خطابه المدينه المنوره الزواج,1,love
يا شام ان جراحي لا ضفاف لها فامسحي عن جبيني الحزن والتعبا وارجعيني الي اسـوار مدرسـتي وارجعي الحبر والطبشو,2,sad
احبك تحيه لـ يوم حافل بالحب والحنان ياصباح الحب والعطر والاشتياق صباح احساس بوح,1,love
عماله اعد فه سمعته بتاع خمستاشرمره,0,joy
اذا كان انا بسمعه الوقتي علي السوند,0,joy
تم لك وصباحك عسل,0,joy
لانك مني وانا منك سقوطك يؤذيني جدا يا صديقي,0,joy
لقد هرمناااا اول ميداليه في الاوليمبياد لمصر احرزتها ساره سمير ف رفع الاثقال,0,joy
يزورنا الموت لنتذكر اننا قد نفقد اغلي من نحب في هذه الدنيا بلمح البصر او قد نكون نحن من يغيب عن الوجود,2,sad
اللي تقهرني مدن ايام الثورهوالدق الصح رايات خضروجوسمح وفلوس وتوا توار حقيقيين ومع الخوارج وكلاب لمليشيات مزراطهكيف جت هذي يي ياما دونها,2,sad
ان الغرابه كلها اني محاط بالنساء ولا اري احدا سواك نزاريات,1,love
صباااح الورد,0,joy
جعلني مشط لشعر الحب غزل رخيص,1,love
لحظه غريبه جالي فيها لطفولتي وتحديدا لمه العيله في اجازه الصيف لما ننزل مصر لما شفت تتر المال والبنونقلبي وجعن,2,sad
كوبا تحتفل بعيد ميلاد فيدل كاسترو ال باطول سيجار كوبي,0,joy
وساعات كمان من الشات,0,joy
لو كل واحد يخليه فحاله بس,2,sad
قتلاناهم اسياد الارض واستشهدوا في سبيل كرامه اليمن ضد عدوان جبانانتم المعتدين و الله لا يحب المعتدينلذلك سننتصر نجران الان,2,sad
اه قريت كلهم حققوا انجازات بتضحياتهم بطله مصر منعوا تاجيل امتحانات الثانويه لها بسبب مشاركتها في الاوليمبياد و اضطرت تسقط,2,sad
الحب مو كلمه احبك احيانا رجفه يد و فزه قلب وحياه,1,love
كل شخص مفرط بالمحبه انصحه الا الهلالي خله يحب الهلال,0,joy
كفوووو شاعر ماشاء الله,0,joy
اللي عندي يحرقون المسلسل علي,2,sad
والله انا كل ما اشوف الناس بتتكلم عن الاوليمبياد الاقيهم بيحكوا ان ولدنا بينداس عليهم للاسف,2,sad
لاتدع يلتهم روحك وكن واثقا بان الله لم يخلقك لتتعذب في الحياه بل خلقك لتعبده بجميع حواسك فتستشعر سعاده الدنيا والاخره,2,sad
تحيه لموقف العاهل السعودي والموقف الاماراتي الداعم لمصر وندعو جامعه الدول العربيه للدعوه لقمه عربيه طارئه لدعم مصر وشعب,0,joy
هايمين في شوق وحنين وكلامهم بقي بالعين والجو الرومانتيكي خلي ساعه دقيقتين,1,love
مسابقات الاوليمبياد هتبدا بكره في البرازيل البتاع ده انا كنت بحب اتابعه جدا وانا صغيره,0,joy
ما ذكر الله علي صعب الا هان ولا علي عسير الا تيسر ولا مشقه الا خفت ولا شده الا زالت ولا كربه الا انفرجت,1,love
مع من نحب نجد في ابسط الاشياء فرحا بوح خواطر,1,love
الله علي,0,joy
زواج الشيخ محمد العريفي الله يبارك له و يتمم عليه بخير,1,love
الله يعزكم دايما واقفين وقفه ابطال مع اخوانكم العرب صدق من قال ان مصر هي ام العرب الله يحفظ الجميع من فتن الزمان,1,love
الف مبروك ولله مصر كلها فرحنالك ومستنين منك الاغنيه الاولي محمد شاهين,0,joy
ياحبيبي احبك والقصايد دليل كل بيت كتبته في عيونك غزل بيت شعر لدرب الحب لجلك يميل وقبل شوفك قصيد الحب ماله امل,1,love
لله مااحلاك في روحي وما اشهاك في قلبي وفي وجداني ايلام يا نجران مثلي عاشق ويذم ان ناجاك صب عاني هذه نجران,1,love
مش عايزه اصاحب حد ولا عايزه حد جنبي فعلا لاني زهقت من البعد صحوبيه ايه الا تخليني اتصل بيكي مترديش تشوفني مخنوقه ولا مدايقه صحوبيه ايه,2,sad
بابا لسه داخل البيت دلوقتي فـ شاف التلفزيون علي الاوليمبياد فـ بدون سبب والله ما اعرف اشمعني قالي هي اسرائيل مشاركه اه كشر وسكت,2,sad
شكرا ساره سمير اول ميداليه لمصر في الاوليمبياد عاش,0,joy
ماجد الصباح في عمان ماشاء الله صحه يارب شكل الفواكهه بتجنن والطعم ارضك ارض طيبه ياعمان,1,love
هو انتوا عندكوا امل ان احنا نعمل حاجه في الاوليمبياد احنا فاشلين في كل حاجه يا جماعه,2,sad
فيه زوجين يحبون بعض انجبوا غلا و شوق و هيام,1,love
البكاء امام الله حب,1,love
انا من صباحيه ربنا ومفيش في الاوليمبياد دي الاكلمه خروج المصري او المصريه الله يكسفكو,2,sad
وشفيك ياقلبي تفنن في سواليف العتاب حتي الحبيب الي تحبه في ثواني تقهره ضيعت بعمري كثير وشبت في عمر الشباب وهقتني في واثر الحب كله مصخره,1,love
احمد حلمي عسل عسل عسل عسل عسل,0,joy
مشهد دخول الفرق في الاوليمبياد من اعظم المشاهد في التاريخ الوطنيه والانتماء والحب مشهد خيالي والله,0,joy
الــــــم ما اصعب ان يراك الجميع صامتا و في داخلك مدينه من الضجيج,2,sad
لا حول والا قوه الا بالله,2,sad
مصر خدت ميداليه بس علي مدار تاريخ الاوليمبياد معظمهم قبل سنه نفسي الناس تعيش الواقع بقي,2,sad
معلش في بدايه الاوليمبياد بيستعرضو الدول المشاركه وجودك ومشاركتك فيها اصلا اعترافا بدوله اسرائيل بدليل انها معاك,2,sad
بين البشر تايهين من كل كاس شاربين زفتي,2,sad
ماشعورك لوكانت ابنتك اواختك تموت جوعا بين يدك والقهر والحزن ياكل قلبك ولابيدك حيله تخيل,2,sad
ما اصعب ان تشعر بـ العميق وكانه كامن في داخلك الم عريق تستكمل وحدك الطريق بلا هدف بلا شريك بلا رفيق احلام العاجز بوح,2,sad
ماهو الحب احساس يجعلك تحلق وتنسي ان ليس لديك جناحين فتقع وتتكسر ان لم يلتقطك حبيبك انتبه,1,love
فنجان قهوه مره والكثير من ذكرياتنا وجرح عميق,2,sad
ههههههههههه اه والله,0,joy
لما تتحقق احلامك ماتنساش تدفع ديونك القديمه,0,joy
بعدما خسرنا كل ماكان لن يعود بنا الزمان ولكن مؤكد خسارتنا ستكون في القادم اوجع مما كان مملكه القيصر,2,sad
ولو اخفيت شوقي عنك يفز القلب لك من دون طوعي بوح خواطر قروب مزاجي للرتويت عيونك دنيتي للدعم,1,love
الظاهر اني ابتديت وعلي حبك غديت شعر الرياض,1,love
لا وقف بين البوح والتمتمه احبك بصمت واحبــك بكـل الكلام,1,love
اقرار ل محمد منير,0,joy
بلغوها اذا اتيتم حماها انني مت في الغرام فداها واذكروني لها بكل جميل فعساها تبكي علي عساها شعر فرح حزن خواطر عتاب بوح قصيد غزل,1,love
صعبان عليا انزل و اسيب الاوليمبياد شغاله,2,sad
معلق انا علي مشانق الصباح وجبهتي بالموت محنيه,2,sad
وتعيش يا جيش بلادي,0,joy
الحب يحفظ الجمال وبشره المراه تغذيها المداعبات كما يتغدي النحل برحيق الزهور ان كنت تقرا,1,love
الاوليمبياد حلوه جدا وماتشات مفتوحه من الطرفين ومهرجان اهداف,0,joy
اللهم انصر استاذ امجد علي كل ظالم و حاقد,1,love
السعوديه الثالثه في السمنه سمني زوجك بلعيه بلع عشان ماياخذ غيرك هع,0,joy
ياعالم بالسر وما بقلبي انت تعلمه فحديث قلبي بك انت منك فيك لك,1,love
الحب يسلبها كيدها يرجعها الي براءتها الاولي ويدفعها الي الذهاب بعيدا حيث لا تعرف وحيث تخاف فهي لا تقاومك احيانا بل تقاوم نفسها ان تحب,1,love
بدونك لا طعم لوجودي,0,joy
رنا سماحه ياقلبنا ما تغبيش عننا لانك سرقتي قلوبنا كلنا رنا سماحه في انت حر,2,sad
بونجوووغ مادموزيل,0,joy
يعني اول ما اصحي من النوم اشوف احمد الاحمر وهو داخل بالعلم في الاوليمبياد ده صباح الخير بزياده يعني,0,joy
الحمد لله عندنا ترام,0,joy
بيعملوا ستيكرز في بوستات وبيغيظوني يا سماح عشان مش معايا فلوس اجيب ايفون,2,sad
نصف السعاده تجدها في روح تفهمك والنصف اخر في قلبا لن يتغير عليك امير,1,love
الـــف مبرووووك,0,joy
في كلمه امنيتي له بالسعاده والراحه والفرح وكل شي جميل حلمت ان يجمعني به,1,love
ذكري الغزو العراقي الغاشم اطماع شخصيه يظنها صاحبها هينه ويستغلها العدو لصالحه فلا الطامع نال مطامعه ولا الامه سلمت من شرورها,2,sad
الحب الذي يخلو من المشاجرات و الغياب و العتب و الغيره و السهر و الحنين لا نكهه له,1,love
خايك معا حمد ويقولوله دودو,0,joy
ليس هناك رجل يستحق ان تبكي من اجله ولا تصدقي انه حزين لفراقك ف دائما عند كل شرقي بديل نزار قباني,2,sad
يومكسعيدباءذنالله طيبهالقلب ربنايجعلفيوشكجوهرهولسانكسكره,0,joy
عااااش جدا ربنا يكرمك يا ريت مصر تحقق انجازات في كل حاجه و يكون فيها ناس مخلصين زيك انت و بعثه المنتخب في الاوليمبياد ربنا معاكم محمد ايهاب,0,joy
حوادث حادثه خطيره بين مدينه العيون والمرسي لبلايا اصيب فيها السائق بريزونطا بجروح خطيره ادت الي وفاته في,2,sad
علي هواك كلمه قلتها اوجعت فيها قلبي وانت لو تدري شوفتك تفز فيها القلب,2,sad
ولا اي كلمه اتقالت في يوم ما بين اتنين تسوي حلاوه كلمه منك قولتهالي,1,love
لو كنت اعلم ان حبك يقتلني اعددت لي قبل ان القاك اكفـانا,1,love
ندي معوض ودعاء الغباشي برافو بجد لاول بنات مصريه تروح الاوليمبياد في الكره الطائره الشاطئيه وسنهم و سنه,0,joy
ابكاني كمدا وقهرا,2,sad
للحين احبك وحبك اجمل اسراري والقلب بيديك واسقه قبل لا يهلك يكفيني اني الي خلصت اذكاري اقول امين مره لي ومره لك بوح,1,love
ربنا يحميك انتا وزكرياااااا بس تعالا هنا مش تباركلي,0,joy
التواصل بيننا علي توتير دا نوع من الموده والرحمه وزم نسال علي بعض ونطمئن علي بعض ياريت اخق الكريمه تسود بين الناس,0,joy
فتن قلبي فتنه تاوي بي لعمق الحب يا نبض ذاك القلب الذي اصبح في قبضتك عتم بوح احبك تصويري,1,love
هنالك شخص يقبع بمنتصف القلب ويعتلي عرش الذاكره لايمكن ان تنساه الذاكره او يغفل عنه القلب حاجه عمري منسيتها,1,love
الميزه في الاوليمبياد انك بتخلص بتلاقي حاجه تانيه تشدك,0,joy
حتي عيونها كانت الغزال تغااار من عيونهاالغزال يقول من وين لك هذي العيونهي ترد وتقول حبيبي منصور ساكن فيهااكيد بتكون حلوه وذربه غزل,1,love
تري حلاه العمر مع من تحبه شخص تريده من جميع المخاليق بوح ابيات,1,love
روح يا عبدالسلام وراها اشمعنا دي يعني هو الكنترول ده مستكتر علينا ننام يوم مبسوطين,2,sad
باهي ياعليوه سلمك نصاح,0,joy
اول لما السيسي قال انا شايف النصر زي منا شايفكو دلوقت هوب دبل كيك لقيت كل اللاعيبه المصريين في الاوليمبياد بيخسرو وبيروحو علي بلدهم,2,sad
شكرا,0,joy
فاضله تتبرع لعلاج الاخ شعبان بمبلغ اسهم اسال الله ان يبارك لها ويتقبل منها ويسعدها ووالديها في الدارين,0,joy
انا مش مشكلتي ان احمد زويل يموت عادي لان كلنا هنموت ال مزعلني وقاهرني ان ضمير العالم هو ال يموت,2,sad
وحشني احساسك وحشني حبك المجنون وحشني صدرك الدافي يا اروع حب في الكون,0,joy
ما تعريفك للحب الحب الحقيقي هو الذي ينتهي بيد ثالثه وغير ذلك اكاذيب,1,love
حين تكون معي يكسوني جنون العشق حين تكون معي تضطرب نبضات القلب حين تكون معي استطيع ان اقول اني احب صباح الخير,1,love
صوتك طمانينه كمصباح مضيئ يقشعر لها ظلام الليل الحالك وحين يعيث الفساد في حبائل الالحان نغمتك ولاسواها تهدئ من روعي,1,love
المصريون في الاوليمبياد وثقافه الاستسلام للفشل,2,sad
قالك قطر خاشه الاوليمبياد ب لاعب اللي يبي يسرق قطر يستغل الفرصه الشعب كله في البرازيل,0,joy
انت ممكن تداري وجعك ودمعتك وديقتك عشان بس متصعبش علي حد,2,sad
احنا ولاد الكلب الشعب خد مفاتيح سجنك وياك واتركني لوطني فيديو لكنه ولا شيء امام ما يحدث للمعتقلين في الحقيقه,2,sad
نم الي علمي انك اتخرجتي وا من هذا المزنق احب اقولك مبروك وربنا يوفقك في حياتك وتبقي دكتوره كبيره كدهون,0,joy
الفرجه ع الاوليمبياد متعه,0,joy
تعبت احبك وانت ساهي ولاهي محتاجه فرصه غير كلمه ظروفك,2,sad
موقف بطولي للملازم صالح النعمان العنزي انطلق الي موقع الناقله كان بعيد فاتا بها وانقذ المصابين وهو مصاب بالشظايا,0,joy
اعشقه واحبه من الساس للراس قلبي و قلبه بالمحبه رفاقه غزل,1,love
ههههههه ربي يسعدك,0,joy
اجعل ليلي محرقا واصليني عشقا,1,love
يغار ضياء البدر من من نور وجهه ويخجل غصن البان من لين قده شعر رمزياتي,1,love
الي هيحبك بجد هيحبك عشان قلبك مش عشان شكلك حلو او فلوسك كتيره غير كده دا مش دا نفاق,1,love
اذا احببت شخصا خذه معك في دعائك دون علمه فهكذا يكون الحب اجمل واصفي وانقي واقرب الي الله فـ دعاء,1,love
